Grade,Race,SPED,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level
7.0,W,,51.0,86.0,Masters
7.0,H,,50.0,85.0,Masters
8.0,H,,49.0,83.0,Masters
7.0,H,,48.0,81.0,Masters
7.0,H,,48.0,81.0,Masters
8.0,H,,48.0,81.0,Masters
8.0,B,,44.0,75.0,Masters
8.0,B,,44.0,75.0,Masters
8.0,H,,42.0,71.0,Masters
8.0,H,,40.0,68.0,Meets
6.0,H,Y,13.0,30.0,Not Met
6.0,H,Y,7.0,16.0,Not Met
8.0,H,,10.0,91.0,Masters
8.0,H,,9.0,82.0,Meets
8.0,H,,9.0,82.0,Meets
8.0,H,,9.0,82.0,Meets
8.0,H,,8.0,73.0,Appr
8.0,H,,7.0,64.0,Not Met
6.0,H,,30.0,70.0,Meets
6.0,B,,25.0,58.0,Meets
6.0,B,,25.0,58.0,Meets
6.0,H,,23.0,53.0,Appr
6.0,H,,22.0,51.0,Appr
6.0,H,,20.0,47.0,Appr
6.0,W,,20.0,47.0,Appr
6.0,H,,19.0,44.0,Appr
6.0,W,,18.0,42.0,Appr
6.0,B,,17.0,40.0,Appr
6.0,H,,17.0,40.0,Appr
6.0,H,,17.0,40.0,Appr
6.0,H,,16.0,37.0,Appr
6.0,H,,14.0,33.0,Not Met
6.0,H,Y,14.0,33.0,Not Met
6.0,H,,13.0,30.0,Not Met
6.0,H,,11.0,26.0,Not Met
6.0,H,,11.0,26.0,Not Met
6.0,H,,38.0,88.0,Masters
6.0,B,,33.0,77.0,Meets
6.0,H,,32.0,74.0,Meets
6.0,H,,30.0,70.0,Meets
6.0,H,,28.0,65.0,Meets
6.0,H,,27.0,63.0,Meets
6.0,H,Y,26.0,60.0,Meets
6.0,H,,20.0,47.0,Appr
6.0,H,,20.0,47.0,Appr
6.0,T,,20.0,47.0,Appr
6.0,H,,20.0,47.0,Appr
6.0,H,,18.0,42.0,Appr
6.0,H,,16.0,37.0,Appr
6.0,H,,16.0,37.0,Appr
6.0,H,,13.0,30.0,Not Met
6.0,B,,12.0,28.0,Not Met
6.0,H,,12.0,28.0,Not Met
6.0,H,,12.0,28.0,Not Met
6.0,H,,11.0,26.0,Not Met
6.0,B,,11.0,26.0,Not Met
