ID,Grade,Race,SPED,Q1_Raw_Score,Q1_%Corr,Q1_Met_Level,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level,Q3_Raw_Score,Q3_%Corr,Q3_Met_Level
559000,6,W,,10,100,Masters,29.0,67.0,Meets,28,70,Meets
498514,7,W,,10,100,Masters,51.0,86.0,Masters,53,91,Masters
503832,6,H,,10,100,Masters,34.0,79.0,Masters,24,60,Meets
511476,6,H,,10,100,Masters,33.0,77.0,Meets,33,83,Masters
501779,6,H,,13,100,Masters,35.0,81.0,Masters,34,85,Masters
541764,6,H,,13,100,Masters,16.0,37.0,Appr,18,45,Appr
508965,6,H,,13,100,Masters,30.0,70.0,Meets,31,78,Meets
504733,6,H,,13,100,Masters,28.0,65.0,Meets,32,80,Masters
498433,7,H,,10,100,Masters,50.0,85.0,Masters,47,81,Masters
511321,7,H,,10,100,Masters,48.0,81.0,Masters,43,74,Masters
500967,8,H,,10,100,Masters,29.0,60.0,Meets,27,56,Meets
492370,8,H,,10,100,Masters,29.0,60.0,Meets,21,44,Appr
492582,8,H,,10,100,Masters,27.0,56.0,Meets,30,63,Meets
497800,8,H,,10,100,Masters,40.0,83.0,Masters,29,60,Meets
492625,8,H,,10,100,Masters,17.0,35.0,Not Met,19,40,Appr
492744,8,H,,10,100,Masters,28.0,58.0,Meets,40,83,Masters
558828,8,H,,10,100,Masters,36.0,75.0,Meets,28,58,Meets
506877,8,H,,10,100,Masters,44.0,92.0,Masters,42,91,Masters
554265,8,H,,10,100,Masters,39.0,81.0,Masters,34,74,Meets
494629,8,H,Y,10,100,Masters,15.0,31.0,Not Met,21,44,Appr
506646,8,B,,10,100,Masters,37.0,77.0,Masters,33,69,Meets
510343,7,A,,10,100,Masters,39.0,85.0,Masters,42,91,Masters
554088,8,H,,10,100,Masters,33.0,69.0,Meets,27,56,Meets
508128,6,T,,13,100,Masters,35.0,81.0,Masters,32,80,Masters
492696,8,H,Y,10,100,Masters,45.0,94.0,Masters,39,85,Masters
491949,8,H,,10,100,Masters,41.0,85.0,Masters,36,78,Masters
504015,6,H,,12,92,Masters,33.0,77.0,Meets,33,83,Masters
503743,6,H,,12,92,Masters,39.0,91.0,Masters,36,90,Masters
558989,6,W,,9,90,Masters,18.0,42.0,Appr,25,63,Meets
553777,6,H,,9,90,Masters,18.0,42.0,Appr,21,53,Appr
556135,6,H,,9,90,Masters,21.0,49.0,Appr,15,38,Appr
538269,6,H,,9,90,Masters,19.0,44.0,Appr,21,53,Appr
500101,7,H,,9,90,Masters,17.0,37.0,Not Met,17,37,Not Met
524485,7,H,,9,90,Masters,11.0,24.0,Not Met,17,37,Not Met
492456,8,H,,9,90,Masters,42.0,71.0,Masters,46,79,Masters
506285,8,H,,9,90,Masters,48.0,81.0,Masters,52,90,Masters
499257,8,H,,9,90,Masters,39.0,81.0,Masters,29,60,Meets
491942,8,H,,9,90,Masters,25.0,52.0,Appr,28,58,Meets
541805,8,H,,9,90,Masters,,,,36,75,Meets
524326,8,H,,9,90,Masters,25.0,52.0,Appr,21,44,Appr
491943,8,H,,9,90,Masters,35.0,73.0,Meets,27,56,Meets
491811,8,H,,9,90,Masters,23.0,48.0,Appr,17,35,Not Met
496991,8,H,,9,90,Masters,24.0,50.0,Appr,22,46,Appr
500822,8,H,,9,90,Masters,36.0,75.0,Meets,26,54,Meets
492462,8,H,,9,90,Masters,34.0,71.0,Meets,30,63,Meets
554250,8,H,,9,90,Masters,25.0,52.0,Appr,17,35,Not Met
502140,8,H,,9,90,Masters,25.0,52.0,Appr,24,50,Appr
528024,8,H,,9,90,Masters,33.0,69.0,Meets,29,63,Meets
558939,8,H,,9,90,Masters,31.0,65.0,Meets,35,73,Meets
555960,8,H,,9,90,Masters,37.0,77.0,Masters,39,85,Masters
492846,8,H,,9,90,Masters,34.0,71.0,Meets,27,59,Meets
558032,6,B,,9,90,Masters,33.0,77.0,Meets,27,68,Meets
524921,8,B,,9,90,Masters,44.0,75.0,Masters,53,91,Masters
544594,8,B,,9,90,Masters,30.0,63.0,Meets,20,42,Appr
543966,8,B,,9,90,Masters,26.0,54.0,Meets,25,52,Appr
492232,8,H,,9,90,Masters,44.0,92.0,Masters,34,71,Meets
492605,8,H,,9,90,Masters,39.0,81.0,Masters,32,70,Meets
510121,6,B,,9,90,Masters,11.0,26.0,Not Met,11,28,Not Met
550287,8,B,,9,90,Masters,37.0,77.0,Masters,29,60,Meets
496008,7,H,Y,9,90,Masters,40.0,87.0,Masters,37,80,Meets
504196,6,W,,11,85,Meets,22.0,51.0,Appr,27,68,Meets
503736,6,H,,11,85,Meets,30.0,70.0,Meets,28,70,Meets
503728,6,H,,11,85,Meets,36.0,84.0,Masters,36,90,Masters
503741,6,H,,11,85,Meets,40.0,93.0,Masters,35,88,Masters
504013,6,H,,11,85,Meets,37.0,86.0,Masters,39,98,Masters
503757,6,H,,11,85,Meets,19.0,44.0,Appr,21,53,Appr
498618,6,H,,11,85,Meets,33.0,77.0,Meets,31,78,Meets
524611,6,H,,11,85,Meets,29.0,67.0,Meets,37,93,Masters
504604,6,H,,11,85,Meets,23.0,53.0,Appr,32,80,Masters
509961,6,H,Y,11,85,Meets,23.0,53.0,Appr,35,88,Masters
503681,7,W,,8,80,Meets,4.0,9.0,Not Met,7,15,Not Met
500868,8,W,,8,80,Meets,11.0,23.0,Not Met,11,23,Not Met
497670,7,T,,8,80,Meets,21.0,46.0,Appr,29,63,Meets
492286,8,T,Y,8,80,Meets,29.0,60.0,Meets,22,46,Appr
506901,6,H,,8,80,Meets,16.0,37.0,Appr,19,48,Appr
502856,6,H,Y,8,80,Meets,21.0,49.0,Appr,20,50,Appr
524909,6,H,Y,8,80,Meets,15.0,35.0,Appr,14,35,Appr
553775,6,H,,8,80,Meets,12.0,28.0,Not Met,14,35,Appr
541636,6,H,,8,80,Meets,20.0,47.0,Appr,18,45,Appr
560318,6,H,,8,80,Meets,19.0,44.0,Appr,24,60,Meets
508483,6,H,Y,8,80,Meets,26.0,60.0,Meets,36,90,Masters
554944,6,H,,8,80,Meets,20.0,47.0,Appr,19,48,Appr
498765,7,H,,8,80,Meets,34.0,74.0,Meets,31,67,Meets
497712,7,H,,8,80,Meets,41.0,89.0,Masters,20,43,Appr
528137,7,H,Y,8,80,Meets,32.0,70.0,Meets,31,67,Meets
498149,7,H,,8,80,Meets,23.0,50.0,Appr,23,50,Appr
528138,8,H,,8,80,Meets,49.0,83.0,Masters,47,81,Masters
492256,8,H,,8,80,Meets,40.0,68.0,Meets,42,72,Masters
503759,8,H,,8,80,Meets,14.0,29.0,Not Met,14,29,Not Met
522042,8,H,,8,80,Meets,40.0,83.0,Masters,35,73,Meets
492556,8,H,,8,80,Meets,21.0,44.0,Appr,28,58,Meets
541765,8,H,,8,80,Meets,17.0,35.0,Not Met,12,25,Not Met
498266,8,H,,8,80,Meets,18.0,38.0,Appr,27,56,Meets
530689,8,H,,8,80,Meets,27.0,56.0,Meets,31,65,Meets
492493,8,H,,8,80,Meets,28.0,58.0,Meets,23,48,Appr
501014,8,H,,8,80,Meets,19.0,40.0,Appr,17,35,Not Met
524332,8,H,,8,80,Meets,23.0,48.0,Appr,23,48,Appr
555881,8,H,,8,80,Meets,19.0,40.0,Appr,16,33,Not Met
521744,8,H,,8,80,Meets,30.0,63.0,Meets,19,40,Appr
492501,8,H,,8,80,Meets,27.0,56.0,Meets,30,63,Meets
529991,8,H,,8,80,Meets,39.0,81.0,Masters,25,54,Meets
492399,8,H,,8,80,Meets,42.0,88.0,Masters,41,89,Masters
543972,6,B,,8,80,Meets,17.0,40.0,Appr,20,50,Appr
511187,6,B,,8,80,Meets,25.0,58.0,Meets,25,63,Meets
556300,6,B,Y,8,80,Meets,15.0,35.0,Appr,13,33,Not Met
544801,7,B,Y,8,80,Meets,34.0,74.0,Meets,32,70,Meets
492461,8,B,,8,80,Meets,24.0,50.0,Appr,15,31,Not Met
500081,8,W,,8,80,Meets,38.0,79.0,Masters,33,72,Meets
558859,6,H,,8,80,Meets,30.0,70.0,Meets,31,78,Masters
497550,7,H,,8,80,Meets,24.0,52.0,Appr,25,54,Appr
498598,7,H,,8,80,Meets,42.0,91.0,Masters,24,52,Appr
492653,8,H,,8,80,Meets,12.0,25.0,Not Met,23,48,Appr
498125,8,H,,8,80,Meets,40.0,83.0,Masters,32,67,Meets
552443,8,H,,8,80,Meets,21.0,44.0,Appr,19,40,Appr
504102,6,H,,10,77,Appr,28.0,65.0,Meets,37,93,Masters
528028,6,H,,10,77,Appr,21.0,49.0,Appr,26,65,Meets
504294,6,H,,10,77,Appr,34.0,79.0,Masters,32,80,Masters
509461,6,H,,10,77,Appr,28.0,65.0,Meets,32,80,Masters
503740,6,H,,10,77,Appr,34.0,79.0,Masters,39,98,Masters
507583,6,B,,10,77,Appr,33.0,77.0,Meets,35,88,Masters
505009,6,H,,10,77,Appr,35.0,81.0,Masters,37,93,Masters
497347,7,T,,7,70,Appr,34.0,74.0,Meets,30,65,Meets
504130,6,H,,7,70,Appr,17.0,40.0,Appr,17,43,Appr
553634,6,H,,7,70,Appr,20.0,47.0,Appr,23,58,Meets
509467,6,H,,7,70,Appr,23.0,53.0,Appr,21,53,Appr
528637,6,H,Y,7,70,Appr,28.0,65.0,Meets,30,75,Meets
555985,6,H,,7,70,Appr,27.0,63.0,Meets,26,65,Meets
503725,6,H,,7,70,Appr,20.0,47.0,Appr,21,53,Appr
503722,6,H,,7,70,Appr,14.0,33.0,Not Met,7,18,Not Met
547035,6,H,,7,70,Appr,13.0,30.0,Not Met,13,33,Not Met
503998,6,H,,7,70,Appr,12.0,28.0,Not Met,15,38,Appr
497517,7,H,,7,70,Appr,14.0,30.0,Not Met,13,28,Not Met
498101,7,H,,7,70,Appr,35.0,76.0,Meets,10,22,Not Met
502990,7,H,,7,70,Appr,17.0,37.0,Not Met,22,48,Appr
555974,7,H,,7,70,Appr,14.0,30.0,Not Met,7,15,Not Met
503683,7,H,,7,70,Appr,31.0,67.0,Meets,16,35,Not Met
503700,7,H,,7,70,Appr,24.0,52.0,Appr,14,30,Not Met
497476,7,H,,7,70,Appr,7.0,15.0,Not Met,14,30,Not Met
500133,7,H,,7,70,Appr,27.0,59.0,Meets,25,54,Appr
497468,7,H,,7,70,Appr,31.0,67.0,Meets,25,54,Appr
504913,7,H,,7,70,Appr,29.0,63.0,Meets,28,61,Meets
492241,8,H,,7,70,Appr,26.0,54.0,Meets,19,40,Appr
491993,8,H,,7,70,Appr,27.0,56.0,Meets,18,38,Appr
492485,8,H,,7,70,Appr,17.0,35.0,Not Met,22,46,Appr
492059,8,H,,7,70,Appr,27.0,56.0,Meets,26,54,Meets
492139,8,H,,7,70,Appr,22.0,46.0,Appr,18,38,Appr
510690,8,H,,7,70,Appr,30.0,63.0,Meets,35,73,Meets
552060,8,H,,7,70,Appr,28.0,58.0,Meets,19,40,Appr
527881,8,H,,7,70,Appr,27.0,56.0,Meets,22,46,Appr
544401,8,H,,7,70,Appr,24.0,50.0,Appr,25,52,Appr
554580,8,H,,7,70,Appr,14.0,29.0,Not Met,14,29,Not Met
498534,8,H,,7,70,Appr,32.0,67.0,Meets,40,83,Masters
492713,8,H,,7,70,Appr,28.0,58.0,Meets,26,54,Meets
492588,8,H,,7,70,Appr,36.0,75.0,Meets,22,46,Appr
557875,6,B,,7,70,Appr,25.0,58.0,Meets,24,60,Meets
